TITRE Français,ANNEE,DATE DE SORTIE FR,NATIONALITE,REALISATEUR,ACTEUR 1,ACTEUR 2,ACTEUR 3,GENRE 1 FR,GENRE 2 FR,GENRE 3 FR,DISTIBUTEUR FR,CUMUL ENTREES FR,Code Typologie,Copies
AVATAR LA VOIE DE LEAU,2022.0,2022-12-14,usa,james cameron,sam worthington,zoe saldana,sigourney weaver,science fiction,aventure,,the walt disney company,14201451.0,blockbuster us,762.0
UN PTIT TRUC EN PLUS,2024.0,2024-05-01,france,artus,artus,clovis cornillac,alice balaidi,comedie,,,pan distribution,10829070.0,comedie populaire francaise,
LE COMTE DE MONTE CRISTO,2024.0,2024-06-26,france,"matthieu delaporte, alexandre de la patelliere",pierre niney,bastien bouillon,anais demoustier,aventure,historique,,pathe films,9429939.0,francais intermediaire tout public,
VICE VERSA 2,2024.0,2024-06-19,usa,kelsey mann,,,,aventure,animation,comedie,the walt disney company,8415274.0,animation filles,
VAIANA 2,2024.0,2024-11-27,usa,"david g. derrick jr., jason hand, dana ledoux miller",cerise calixte,auli'i cravalho,anthony kavanagh,aventure,animation,famille,the walt disney company,8078043.0,animation filles,
LA REINE DES NEIGES 2,2019.0,2019-11-20,usa,"jennifer lee, chris buck",,,,animation,,,the walt disney company,7400505.0,animation filles,666.0
SUPER MARIO BROS,2023.0,2023-04-05,usa,"aaron horvath, michael jelenic",,,,animation,aventure,comedie,universal pictures,7359264.0,animation mixte,738.0
TOP GUN MAVERICK,2022.0,2022-05-25,usa,joseph kosinski,tom cruise,jennifer connelly,miles teller,action,,,paramount pictures int,6676052.0,blockbuster us,790.0
STAR WARS LASCENSION DE SKYWALKER,2019.0,2019-12-18,usa,j.j abrams,daisy ridley,adam driver,oscar isaac,science fiction,aventure,,the walt disney company,6011023.0,blockbuster us,731.0
BARBIE,2022.0,2023-07-19,usa,greta gerwig,margot robbie,ryan gosling,america ferrara,comedie,fantastique,famille,warner bros.,5844365.0,young adult movies,665.0
MUFASA LE ROI LION,2024.0,2024-12-18,usa,barry jenkins,tahar rahim,aaron pierre,gwendal marimoutou,aventure,animation,famille,the walt disney company,5232640.0,blockbuster famille us,683.0
LAMOUR OUF,2024.0,2024-10-16,france,gilles lellouche,adele exarchopoulos,francois civil,mallory wanecque,comedie,romance,thriller,studiocanal,4937702.0,francais intermediaire tout public,
ASTERIX ET OBELIX LEMPIRE DU MILIEU,2023.0,2023-02-01,france,guillaume canet,guillaume canet,gilles lellouche,marion cotillard,aventure,comedie,,pathe films,4598637.0,comedie populaire francaise,772.0
OPPENHEIMER,2023.0,2023-07-19,usa,christopher nolan,cillian murphy,robert downey jr.,matt damon,biopic,guerre,historique,universal pictures,4532567.0,gros independant,668.0
MOI MOCHE ET MECHANT 4,2024.0,2024-07-10,usa,"patrick delage, chris renaud",,,,aventure,animation,comedie,universal pictures,4472127.0,animation mixte,
ALIBI.COM 2,2023.0,2023-02-08,france,philippe lacheau,philippe lacheau,tarek boudali,elodie fontan,comedie,,,studiocanal,4278675.0,comedie decalee,680.0
DUNE DEUXIEME PARTIE,2024.0,2024-02-28,usa,denis villeneuve,zendaya,timothee chalamet,rebecca ferguson,science fiction,,,warner bros.,4099647.0,blockbuster us,994.0
LES MINIONS 2 IL ETAIT UNE FOIS GRU,2022.0,2022-07-06,usa,pierre coffin,,,,animation,comedie,famille,universal pictures,3874168.0,animation mixte,794.0
WONKA,2023.0,2023-12-13,usa,paul king,timothee chalamet,calah lane,keegan michael key,aventure,fantastique,comedie musicale,warner bros.,3749747.0,blockbuster famille us,700.0
DEADPOOL ET WOLVERINE,2024.0,2024-07-24,usa,shawn levy,ryan reynolds,hugh jackman,,comedie,action,science fiction,the walt disney company,3716208.0,super heros,
BLACK PANTHER WAKANDA FOREVER,2022.0,2022-11-09,usa,ryan coogler,lupita nyong'o,danai gurira,letitia wright,action,aventure,,the walt disney company,3656450.0,super heros,625.0
JURASSIC WORLD LE MONDE DAPRES,2022.0,2022-06-08,usa,colin trevorrow,chris pratt,bryce dallas howard,dewanda wise,action,science fiction,,universal pictures,3480674.0,blockbuster us,749.0
LES GARDIENS DE LA GALAXIE VOLUME 3,2023.0,2023-05-03,usa,james gunn,chris pratt,zoe saldana,dave bautista,action,aventure,fantastique,the walt disney company,3434859.0,super heros,611.0
LES TROIS MOUSQUETAIRES DARTAGNAN,2023.0,2023-04-05,france,martin bourboulon,francois civil,vincent cassel,romain duris,aventure,historique,,pathe films,3432815.0,francais intermediaire tout public,732.0
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS,2022.0,2022-05-04,usa,scott derrickson,benedict cumberbatch,elizabeth olsen,benedict wong,fantastique,action,,the walt disney company,3263183.0,super heros,619.0
JUMANJI NEXT LEVEL,2019.0,2019-12-04,usa,jake kasdan,dwayne johnson,kevin hart,karen gillan,aventure,comedie,,sony,3254544.0,blockbuster us,676.0
ELEMENTAIRE,2023.0,2023-06-21,usa,peter sohn,,,,animation,comedie,famille,the walt disney company,3216946.0,animation mixte,634.0
LE CHAT POTTE 2 LA DERNIERE QUETE,2022.0,2022-12-07,usa,joel crawford,,,,animation,comedie,,universal pictures,3051480.0,animation mixte,700.0
GLADIATOR 2,2024.0,2024-11-13,usa,ridley scott,paul mescal,pedro pascal,connie nielsen,action,drame,peplum,paramount pictures int,3050669.0,blockbuster us,
THE BATMAN,2022.0,2022-03-02,usa,matt reeves,robert pattinson,zoe kravitz,paul dano,action,fantastique,,warner bros.,3029870.0,super heros,991.0
GOD SAVE THE TUCHE,2025.0,2025-02-05,france,jean paul rouve,jean paul rouve,isabelle nanty,claire nadeau,comedie,,,pathe films,2992984.0,comedie populaire francaise,734.0
INDIANA JONES ET LE CADRAN DE LA DESTINEE,2023.0,2023-06-28,usa,james mangold,harrison ford,phoebe waller bridge,mads mikkelsen,action,aventure,comedie,the walt disney company,2939322.0,blockbuster us,689.0
WISH ASHA ET LA BONNE ETOILE,2023.0,2023-11-29,usa,"chris buck, fawn veerasunthorn",,,,animation,aventure,comedie,the walt disney company,2921043.0,animation filles,623.0
THOR LOVE AND THUNDER,2022.0,2022-07-13,usa,taika waititi,chris hemsworth,tessa thompson,natalie portman,aventure,action,science fiction,the walt disney company,2854130.0,super heros,638.0
SONIC 3 LE FILM,2024.0,2024-12-25,usa,jeff fowler,ben schwartz,idris elba,colleen o'shaughnessey,aventure,animation,,paramount pictures int,2785383.0,blockbuster famille us,735.0
LES ANIMAUX FANTASTIQUES 3 LES SECRETS DE DUMBLEDORE,2022.0,2022-04-13,usa,david yates,eddie redmayne,jude law,mads mikkelsen,fantastique,aventure,,warner bros.,2749802.0,blockbuster famille us,806.0
MALEFIQUE LE POUVOIR DU MAL,2019.0,2019-10-16,usa,joachim rnning,angelina jolie,elle fanning,michelle pfeiffer,fantastique,,,the walt disney company,2636807.0,blockbuster famille us,536.0
EN FANFARE,2024.0,2024-11-27,france,emmanuel courcol,benjamin lavernhe,pierre lottin,sarah suco,comedie,comedie dramatique,drame,diaphana,2618105.0,francais intermediaire senior++,
MISSION IMPOSSIBLE DEAD RECKONING PARTIE 1,2023.0,2023-07-12,usa,christopher mcquarrie,tom cruise,simon pegg,angela bassett,action,espionnage,,paramount pictures int,2616635.0,blockbuster us,785.0
LES TROIS MOUSQUETAIRES MILADY,2023.0,2023-12-13,france,martin bourboulon,francois civil,vincent cassel,romain duris,aventure,historique,,pathe films,2575211.0,francais intermediaire tout public,724.0
LA PLANETE DES SINGES LE NOUVEAU ROYAUME,2024.0,2024-05-08,usa,wes ball,owen teague,freya allan,peter macon,science fiction,action,aventure,the walt disney company,2530409.0,blockbuster us,
UNCHARTED,2022.0,2022-02-16,usa,dan trachtenberg,tom holland,mark wahlberg,sophia taylor ali,action,aventure,,sony,2500438.0,blockbuster us,653.0
